,arr_delay,name
17367,-21.0,JetBlue Airways
17368,-17.0,American Airlines Inc.
17369,11.0,JetBlue Airways
17370,9.0,JetBlue Airways
17371,-7.0,American Airlines Inc.
17372,0.0,Southwest Airlines Co.
17373,-12.0,United Air Lines Inc.
17374,16.0,JetBlue Airways
17375,-2.0,United Air Lines Inc.
17376,-12.0,United Air Lines Inc.
17377,8.0,United Air Lines Inc.
17378,6.0,JetBlue Airways
17379,-2.0,US Airways Inc.
17380,-15.0,United Air Lines Inc.
17381,-8.0,United Air Lines Inc.
17382,8.0,ExpressJet Airlines Inc.
17383,-5.0,United Air Lines Inc.
17384,-4.0,ExpressJet Airlines Inc.
17385,-3.0,United Air Lines Inc.
17386,8.0,ExpressJet Airlines Inc.
17387,6.0,JetBlue Airways
17388,-15.0,Delta Air Lines Inc.
17389,-12.0,American Airlines Inc.
17390,-11.0,JetBlue Airways
17391,15.0,United Air Lines Inc.
17392,-20.0,Delta Air Lines Inc.
17393,-6.0,Delta Air Lines Inc.
17394,-17.0,American Airlines Inc.
17395,-15.0,American Airlines Inc.
17396,-20.0,US Airways Inc.
17397,5.0,Delta Air Lines Inc.
17398,2.0,Delta Air Lines Inc.
17399,-15.0,JetBlue Airways
17400,-21.0,United Air Lines Inc.
17401,-11.0,JetBlue Airways
17402,-10.0,Delta Air Lines Inc.
17403,8.0,ExpressJet Airlines Inc.
17404,7.0,United Air Lines Inc.
17405,16.0,Envoy Air
17406,-12.0,United Air Lines Inc.
17407,11.0,Southwest Airlines Co.
17408,-1.0,Envoy Air
17409,29.0,United Air Lines Inc.
17410,1.0,United Air Lines Inc.
17411,-6.0,United Air Lines Inc.
17412,11.0,United Air Lines Inc.
17413,-9.0,United Air Lines Inc.
17414,-19.0,JetBlue Airways
17415,-7.0,American Airlines Inc.
17416,-12.0,Virgin America
17417,3.0,United Air Lines Inc.
17418,15.0,JetBlue Airways
17419,-20.0,American Airlines Inc.
17420,-7.0,Alaska Airlines Inc.
17421,13.0,AirTran Airways Corporation
17422,-13.0,United Air Lines Inc.
17423,-20.0,Delta Air Lines Inc.
17424,-17.0,JetBlue Airways
17425,3.0,American Airlines Inc.
17426,-34.0,American Airlines Inc.
17427,-7.0,Virgin America
17428,-2.0,JetBlue Airways
17429,12.0,ExpressJet Airlines Inc.
17430,-1.0,United Air Lines Inc.
17431,-5.0,JetBlue Airways
17432,-29.0,Delta Air Lines Inc.
17433,-20.0,American Airlines Inc.
17434,-14.0,American Airlines Inc.
17435,9.0,American Airlines Inc.
17436,-7.0,United Air Lines Inc.
17437,70.0,ExpressJet Airlines Inc.
17438,-9.0,United Air Lines Inc.
17439,-13.0,Endeavor Air Inc.
17440,-26.0,JetBlue Airways
17441,-12.0,United Air Lines Inc.
17442,-2.0,Endeavor Air Inc.
17443,-19.0,Delta Air Lines Inc.
17444,-4.0,American Airlines Inc.
17445,-7.0,United Air Lines Inc.
17446,-19.0,Southwest Airlines Co.
17447,-13.0,JetBlue Airways
17448,-14.0,United Air Lines Inc.
17449,-7.0,United Air Lines Inc.
17450,-9.0,JetBlue Airways
17451,-24.0,US Airways Inc.
17452,-14.0,US Airways Inc.
17453,-33.0,Delta Air Lines Inc.
17454,7.0,Southwest Airlines Co.
17455,-31.0,Delta Air Lines Inc.
17456,-16.0,Delta Air Lines Inc.
17457,-41.0,American Airlines Inc.
17458,-31.0,JetBlue Airways
17459,-6.0,ExpressJet Airlines Inc.
17460,-18.0,JetBlue Airways
17461,-14.0,Delta Air Lines Inc.
17462,-2.0,JetBlue Airways
17463,-26.0,US Airways Inc.
17464,-8.0,Delta Air Lines Inc.
17465,-2.0,ExpressJet Airlines Inc.
17466,-15.0,Envoy Air
17467,-18.0,Delta Air Lines Inc.
17468,-14.0,Endeavor Air Inc.
17469,-9.0,JetBlue Airways
17470,-19.0,Delta Air Lines Inc.
17471,14.0,ExpressJet Airlines Inc.
17472,-24.0,Delta Air Lines Inc.
17473,-11.0,AirTran Airways Corporation
17474,-4.0,Envoy Air
17475,-5.0,Endeavor Air Inc.
17476,-13.0,American Airlines Inc.
17477,-20.0,JetBlue Airways
17478,12.0,Endeavor Air Inc.
17479,18.0,ExpressJet Airlines Inc.
17480,-21.0,Envoy Air
17481,25.0,ExpressJet Airlines Inc.
17482,-26.0,American Airlines Inc.
17483,-7.0,American Airlines Inc.
17484,-13.0,JetBlue Airways
17485,-10.0,US Airways Inc.
17486,-20.0,United Air Lines Inc.
17487,-26.0,United Air Lines Inc.
17488,-13.0,Delta Air Lines Inc.
17489,-6.0,Endeavor Air Inc.
17490,-26.0,ExpressJet Airlines Inc.
17491,7.0,ExpressJet Airlines Inc.
17492,-5.0,Frontier Airlines Inc.
17493,-1.0,Southwest Airlines Co.
17494,-25.0,Delta Air Lines Inc.
17495,-22.0,ExpressJet Airlines Inc.
17496,4.0,Envoy Air
17497,-9.0,American Airlines Inc.
17498,7.0,Delta Air Lines Inc.
17499,-10.0,United Air Lines Inc.
17500,-3.0,JetBlue Airways
17501,-9.0,Envoy Air
17502,-20.0,JetBlue Airways
17503,-13.0,United Air Lines Inc.
17504,-31.0,Endeavor Air Inc.
17505,-10.0,ExpressJet Airlines Inc.
17506,-21.0,Endeavor Air Inc.
17507,-29.0,US Airways Inc.
17508,-27.0,United Air Lines Inc.
17509,-11.0,United Air Lines Inc.
17510,-18.0,Envoy Air
17511,-32.0,American Airlines Inc.
17512,30.0,ExpressJet Airlines Inc.
17513,-27.0,United Air Lines Inc.
17514,-42.0,US Airways Inc.
17515,-9.0,United Air Lines Inc.
17516,27.0,ExpressJet Airlines Inc.
17517,-16.0,ExpressJet Airlines Inc.
17518,-31.0,Hawaiian Airlines Inc.
17520,42.0,ExpressJet Airlines Inc.
17521,-8.0,Envoy Air
17522,-18.0,United Air Lines Inc.
17523,-14.0,United Air Lines Inc.
17524,-3.0,Endeavor Air Inc.
17525,-13.0,Delta Air Lines Inc.
17526,-29.0,United Air Lines Inc.
17527,-23.0,Delta Air Lines Inc.
17528,-17.0,Delta Air Lines Inc.
17529,18.0,Delta Air Lines Inc.
17530,23.0,ExpressJet Airlines Inc.
17531,-20.0,JetBlue Airways
17532,-1.0,United Air Lines Inc.
17533,-6.0,Delta Air Lines Inc.
17534,-5.0,Delta Air Lines Inc.
17535,-17.0,American Airlines Inc.
17536,-27.0,Virgin America
17537,-4.0,United Air Lines Inc.
17538,-8.0,United Air Lines Inc.
17539,22.0,JetBlue Airways
17540,2.0,JetBlue Airways
17541,6.0,United Air Lines Inc.
17542,6.0,American Airlines Inc.
17543,-14.0,JetBlue Airways
17544,-16.0,United Air Lines Inc.
17545,12.0,ExpressJet Airlines Inc.
17546,-10.0,JetBlue Airways
17547,0.0,American Airlines Inc.
17548,2.0,United Air Lines Inc.
17549,-11.0,JetBlue Airways
17550,-12.0,American Airlines Inc.
17551,-13.0,United Air Lines Inc.
17552,-39.0,JetBlue Airways
17553,-21.0,JetBlue Airways
17554,45.0,Envoy Air
17555,-5.0,Southwest Airlines Co.
17556,58.0,ExpressJet Airlines Inc.
17557,-6.0,ExpressJet Airlines Inc.
17558,-15.0,Endeavor Air Inc.
17559,-23.0,JetBlue Airways
17560,-17.0,JetBlue Airways
17561,-25.0,Virgin America
17562,-7.0,ExpressJet Airlines Inc.
17563,-6.0,JetBlue Airways
17564,26.0,Envoy Air
17565,-6.0,American Airlines Inc.
17566,10.0,JetBlue Airways
17567,-9.0,American Airlines Inc.
17568,-14.0,Southwest Airlines Co.
17569,-13.0,Endeavor Air Inc.
17570,-25.0,Southwest Airlines Co.
17571,29.0,ExpressJet Airlines Inc.
17572,-9.0,United Air Lines Inc.
17573,-31.0,Delta Air Lines Inc.
17574,63.0,ExpressJet Airlines Inc.
17575,-7.0,JetBlue Airways
17576,-8.0,United Air Lines Inc.
17577,-24.0,US Airways Inc.
17578,21.0,ExpressJet Airlines Inc.
17579,0.0,Envoy Air
17580,-12.0,US Airways Inc.
17581,9.0,United Air Lines Inc.
17582,-23.0,JetBlue Airways
17583,-23.0,US Airways Inc.
17584,-15.0,Delta Air Lines Inc.
17585,-14.0,ExpressJet Airlines Inc.
17586,-7.0,United Air Lines Inc.
17587,15.0,US Airways Inc.
17588,-1.0,Envoy Air
17589,-25.0,Delta Air Lines Inc.
17590,-11.0,Envoy Air
17591,29.0,ExpressJet Airlines Inc.
17592,-19.0,ExpressJet Airlines Inc.
17593,-23.0,United Air Lines Inc.
17594,-14.0,US Airways Inc.
17595,-10.0,Delta Air Lines Inc.
17596,-8.0,American Airlines Inc.
17597,11.0,United Air Lines Inc.
17598,3.0,Delta Air Lines Inc.
17599,6.0,US Airways Inc.
17600,-3.0,AirTran Airways Corporation
17601,-11.0,American Airlines Inc.
17602,-9.0,Envoy Air
17603,34.0,Endeavor Air Inc.
17604,-10.0,American Airlines Inc.
17605,-11.0,ExpressJet Airlines Inc.
17606,-24.0,JetBlue Airways
17607,-43.0,Virgin America
17608,0.0,ExpressJet Airlines Inc.
17609,8.0,Delta Air Lines Inc.
17610,2.0,ExpressJet Airlines Inc.
17611,8.0,United Air Lines Inc.
17612,-5.0,Delta Air Lines Inc.
17613,-24.0,JetBlue Airways
17614,24.0,JetBlue Airways
17615,-18.0,United Air Lines Inc.
17616,3.0,ExpressJet Airlines Inc.
17617,41.0,JetBlue Airways
17618,-20.0,American Airlines Inc.
17619,-23.0,US Airways Inc.
17620,-19.0,US Airways Inc.
17621,1.0,United Air Lines Inc.
17622,-24.0,United Air Lines Inc.
17623,-22.0,Delta Air Lines Inc.
17624,-12.0,Delta Air Lines Inc.
17626,-8.0,Delta Air Lines Inc.
17627,-9.0,Southwest Airlines Co.
17628,-3.0,Envoy Air
17629,17.0,Envoy Air
17630,-23.0,Southwest Airlines Co.
17632,-19.0,JetBlue Airways
17633,-19.0,American Airlines Inc.
17634,-6.0,Delta Air Lines Inc.
17635,-21.0,ExpressJet Airlines Inc.
17636,-6.0,United Air Lines Inc.
17637,-11.0,United Air Lines Inc.
17638,-9.0,United Air Lines Inc.
17639,4.0,Envoy Air
17640,62.0,US Airways Inc.
17641,-18.0,JetBlue Airways
17642,-12.0,JetBlue Airways
17643,-32.0,Delta Air Lines Inc.
17644,-24.0,Envoy Air
17645,-22.0,United Air Lines Inc.
17646,-5.0,Delta Air Lines Inc.
17647,-7.0,US Airways Inc.
17648,-10.0,United Air Lines Inc.
17649,-17.0,Delta Air Lines Inc.
17650,-7.0,American Airlines Inc.
17651,-6.0,United Air Lines Inc.
17652,8.0,JetBlue Airways
17653,-5.0,Delta Air Lines Inc.
17654,24.0,ExpressJet Airlines Inc.
17655,-15.0,American Airlines Inc.
17656,-5.0,United Air Lines Inc.
17657,-16.0,ExpressJet Airlines Inc.
17658,-5.0,Delta Air Lines Inc.
17659,-7.0,Delta Air Lines Inc.
17660,28.0,Southwest Airlines Co.
17661,-7.0,Envoy Air
17662,-16.0,Endeavor Air Inc.
17663,-19.0,JetBlue Airways
17664,18.0,JetBlue Airways
17665,-11.0,United Air Lines Inc.
17666,5.0,Envoy Air
17667,0.0,ExpressJet Airlines Inc.
17668,-16.0,Envoy Air
17669,-13.0,Delta Air Lines Inc.
17670,-8.0,US Airways Inc.
17671,-12.0,Delta Air Lines Inc.
17672,-10.0,American Airlines Inc.
17673,-10.0,US Airways Inc.
17674,-19.0,American Airlines Inc.
17675,32.0,ExpressJet Airlines Inc.
17676,-7.0,Envoy Air
17677,-22.0,United Air Lines Inc.
17678,15.0,Southwest Airlines Co.
17679,-19.0,JetBlue Airways
17680,26.0,AirTran Airways Corporation
17681,-35.0,United Air Lines Inc.
17682,2.0,Envoy Air
17683,0.0,JetBlue Airways
17684,0.0,JetBlue Airways
17685,-28.0,Southwest Airlines Co.
17686,-13.0,Envoy Air
17687,-38.0,Delta Air Lines Inc.
17690,11.0,ExpressJet Airlines Inc.
17691,0.0,United Air Lines Inc.
17692,-9.0,Delta Air Lines Inc.
17693,32.0,American Airlines Inc.
17694,-8.0,American Airlines Inc.
17695,1.0,ExpressJet Airlines Inc.
17696,14.0,American Airlines Inc.
17697,3.0,American Airlines Inc.
17698,21.0,ExpressJet Airlines Inc.
17699,-17.0,JetBlue Airways
17700,-6.0,Delta Air Lines Inc.
17701,-13.0,Southwest Airlines Co.
17702,-7.0,Envoy Air
17703,-14.0,United Air Lines Inc.
17704,27.0,ExpressJet Airlines Inc.
17705,-8.0,American Airlines Inc.
17706,-15.0,US Airways Inc.
17707,-5.0,ExpressJet Airlines Inc.
17708,-5.0,Endeavor Air Inc.
17709,-9.0,American Airlines Inc.
17710,-3.0,US Airways Inc.
17711,-12.0,United Air Lines Inc.
17712,-4.0,Delta Air Lines Inc.
17713,3.0,JetBlue Airways
17714,24.0,US Airways Inc.
17715,-5.0,JetBlue Airways
17716,-12.0,United Air Lines Inc.
17717,18.0,Southwest Airlines Co.
17718,79.0,Delta Air Lines Inc.
17719,74.0,Envoy Air
17720,18.0,Envoy Air
17721,52.0,ExpressJet Airlines Inc.
17722,46.0,ExpressJet Airlines Inc.
17723,-5.0,United Air Lines Inc.
17724,29.0,JetBlue Airways
17725,21.0,US Airways Inc.
17726,-12.0,ExpressJet Airlines Inc.
17727,-2.0,JetBlue Airways
17728,-20.0,Virgin America
17729,-3.0,United Air Lines Inc.
17730,7.0,ExpressJet Airlines Inc.
17731,18.0,JetBlue Airways
17732,18.0,AirTran Airways Corporation
17733,8.0,Envoy Air
17734,5.0,American Airlines Inc.
17735,-10.0,Southwest Airlines Co.
17736,-8.0,Delta Air Lines Inc.
17737,1.0,ExpressJet Airlines Inc.
17738,27.0,JetBlue Airways
17739,10.0,JetBlue Airways
17740,8.0,United Air Lines Inc.
17741,-11.0,American Airlines Inc.
17742,7.0,JetBlue Airways
17743,-18.0,US Airways Inc.
17744,57.0,Endeavor Air Inc.
17745,-2.0,Envoy Air
17746,8.0,Delta Air Lines Inc.
17747,49.0,ExpressJet Airlines Inc.
17748,-28.0,Southwest Airlines Co.
17749,12.0,Delta Air Lines Inc.
17750,82.0,United Air Lines Inc.
17752,-8.0,United Air Lines Inc.
17753,6.0,Delta Air Lines Inc.
17754,-10.0,United Air Lines Inc.
17755,23.0,JetBlue Airways
17756,1.0,US Airways Inc.
17758,22.0,JetBlue Airways
17759,20.0,JetBlue Airways
17760,43.0,JetBlue Airways
17761,-7.0,ExpressJet Airlines Inc.
17762,21.0,United Air Lines Inc.
17763,3.0,Delta Air Lines Inc.
17764,22.0,American Airlines Inc.
17765,51.0,ExpressJet Airlines Inc.
17766,2.0,Envoy Air
17767,-19.0,JetBlue Airways
17768,2.0,United Air Lines Inc.
17769,-1.0,AirTran Airways Corporation
17770,-17.0,ExpressJet Airlines Inc.
17771,48.0,ExpressJet Airlines Inc.
17772,-27.0,Mesa Airlines Inc.
17773,14.0,Envoy Air
17774,29.0,ExpressJet Airlines Inc.
17775,10.0,American Airlines Inc.
17776,1.0,Delta Air Lines Inc.
17777,-11.0,United Air Lines Inc.
17778,2.0,Envoy Air
17779,25.0,JetBlue Airways
17780,-6.0,United Air Lines Inc.
17781,7.0,United Air Lines Inc.
17782,-18.0,United Air Lines Inc.
17783,-30.0,Endeavor Air Inc.
17784,-5.0,ExpressJet Airlines Inc.
17785,-4.0,US Airways Inc.
17786,7.0,United Air Lines Inc.
17787,9.0,Delta Air Lines Inc.
17788,-5.0,Envoy Air
17789,28.0,JetBlue Airways
17790,18.0,United Air Lines Inc.
17791,-9.0,Envoy Air
17792,95.0,ExpressJet Airlines Inc.
17793,-15.0,Endeavor Air Inc.
17794,-25.0,US Airways Inc.
17795,-11.0,US Airways Inc.
17796,-8.0,American Airlines Inc.
17797,14.0,JetBlue Airways
17798,-7.0,Delta Air Lines Inc.
17799,-21.0,American Airlines Inc.
17800,-10.0,American Airlines Inc.
17801,-11.0,JetBlue Airways
17802,20.0,JetBlue Airways
17803,40.0,Envoy Air
17804,70.0,ExpressJet Airlines Inc.
17805,-22.0,JetBlue Airways
17806,13.0,JetBlue Airways
17807,22.0,United Air Lines Inc.
17808,-32.0,United Air Lines Inc.
17809,32.0,Delta Air Lines Inc.
17810,19.0,ExpressJet Airlines Inc.
17811,19.0,US Airways Inc.
17812,9.0,Envoy Air
17813,-4.0,United Air Lines Inc.
17814,-7.0,United Air Lines Inc.
17815,18.0,American Airlines Inc.
17816,8.0,Endeavor Air Inc.
17817,17.0,American Airlines Inc.
17818,-39.0,Delta Air Lines Inc.
17819,73.0,JetBlue Airways
17820,6.0,ExpressJet Airlines Inc.
17821,41.0,ExpressJet Airlines Inc.
17822,-5.0,ExpressJet Airlines Inc.
17823,24.0,ExpressJet Airlines Inc.
17824,-12.0,Southwest Airlines Co.
17825,31.0,ExpressJet Airlines Inc.
17826,32.0,JetBlue Airways
17827,-3.0,ExpressJet Airlines Inc.
17828,78.0,United Air Lines Inc.
17829,25.0,United Air Lines Inc.
17830,-11.0,United Air Lines Inc.
17831,-2.0,Delta Air Lines Inc.
17832,22.0,Delta Air Lines Inc.
17833,-14.0,Endeavor Air Inc.
17834,24.0,American Airlines Inc.
17835,-27.0,Envoy Air
17836,-7.0,United Air Lines Inc.
17837,12.0,ExpressJet Airlines Inc.
17838,8.0,US Airways Inc.
17839,9.0,Envoy Air
17840,15.0,American Airlines Inc.
17841,-26.0,United Air Lines Inc.
17842,-22.0,American Airlines Inc.
17843,11.0,Envoy Air
17844,28.0,Delta Air Lines Inc.
17845,5.0,Envoy Air
17846,-18.0,Delta Air Lines Inc.
17847,22.0,United Air Lines Inc.
17848,-6.0,Delta Air Lines Inc.
17849,9.0,Delta Air Lines Inc.
17850,45.0,Envoy Air
17851,-17.0,Endeavor Air Inc.
17852,-11.0,Endeavor Air Inc.
17853,36.0,United Air Lines Inc.
17854,-23.0,United Air Lines Inc.
17855,-33.0,American Airlines Inc.
17856,-5.0,Delta Air Lines Inc.
17857,7.0,ExpressJet Airlines Inc.
17858,39.0,JetBlue Airways
17860,27.0,Endeavor Air Inc.
17861,-8.0,JetBlue Airways
17862,-32.0,Delta Air Lines Inc.
17863,60.0,Endeavor Air Inc.
17864,7.0,Envoy Air
17865,-2.0,Delta Air Lines Inc.
17866,64.0,ExpressJet Airlines Inc.
17867,-8.0,Mesa Airlines Inc.
17868,-21.0,United Air Lines Inc.
17869,7.0,Delta Air Lines Inc.
17870,-6.0,Endeavor Air Inc.
17871,6.0,Delta Air Lines Inc.
17872,-27.0,Delta Air Lines Inc.
17873,-2.0,US Airways Inc.
17874,-4.0,JetBlue Airways
17875,-24.0,United Air Lines Inc.
17876,-9.0,Endeavor Air Inc.
17877,-7.0,American Airlines Inc.
17878,5.0,AirTran Airways Corporation
17879,6.0,American Airlines Inc.
17880,-13.0,Delta Air Lines Inc.
17881,1.0,Delta Air Lines Inc.
17882,118.0,ExpressJet Airlines Inc.
17883,18.0,Southwest Airlines Co.
17884,9.0,Delta Air Lines Inc.
17885,-3.0,American Airlines Inc.
17886,-15.0,Delta Air Lines Inc.
17887,-17.0,Delta Air Lines Inc.
17888,-11.0,Southwest Airlines Co.
17889,5.0,Envoy Air
17890,7.0,ExpressJet Airlines Inc.
17891,-18.0,ExpressJet Airlines Inc.
17892,11.0,Envoy Air
17893,56.0,United Air Lines Inc.
17894,6.0,US Airways Inc.
17895,-5.0,United Air Lines Inc.
17896,104.0,United Air Lines Inc.
17897,0.0,ExpressJet Airlines Inc.
17898,-7.0,Endeavor Air Inc.
17899,11.0,Envoy Air
17900,-13.0,Delta Air Lines Inc.
17901,73.0,ExpressJet Airlines Inc.
17902,9.0,ExpressJet Airlines Inc.
17903,30.0,JetBlue Airways
17905,30.0,US Airways Inc.
17906,8.0,United Air Lines Inc.
17907,-18.0,JetBlue Airways
17908,-36.0,Virgin America
17909,-9.0,Envoy Air
17910,83.0,Endeavor Air Inc.
17911,-7.0,United Air Lines Inc.
17912,8.0,Endeavor Air Inc.
17913,20.0,Southwest Airlines Co.
17914,75.0,ExpressJet Airlines Inc.
17915,-3.0,JetBlue Airways
17916,0.0,JetBlue Airways
17917,24.0,United Air Lines Inc.
17919,-22.0,JetBlue Airways
17920,-9.0,Southwest Airlines Co.
17921,41.0,American Airlines Inc.
17922,1.0,Endeavor Air Inc.
17923,92.0,Envoy Air
17924,6.0,Envoy Air
17925,7.0,United Air Lines Inc.
17926,19.0,ExpressJet Airlines Inc.
17927,-2.0,ExpressJet Airlines Inc.
17928,36.0,ExpressJet Airlines Inc.
17929,27.0,ExpressJet Airlines Inc.
17930,83.0,Envoy Air
17931,-1.0,Delta Air Lines Inc.
17932,-25.0,Delta Air Lines Inc.
17933,29.0,American Airlines Inc.
17934,15.0,ExpressJet Airlines Inc.
17935,-22.0,American Airlines Inc.
17936,5.0,United Air Lines Inc.
17937,-1.0,JetBlue Airways
17938,33.0,American Airlines Inc.
17939,-25.0,JetBlue Airways
17940,-17.0,US Airways Inc.
17941,-4.0,US Airways Inc.
17942,-5.0,Delta Air Lines Inc.
17943,-21.0,Delta Air Lines Inc.
17944,-40.0,Delta Air Lines Inc.
17945,-35.0,Envoy Air
17946,-13.0,United Air Lines Inc.
17947,-4.0,JetBlue Airways
17948,16.0,Delta Air Lines Inc.
17950,-11.0,Delta Air Lines Inc.
17951,8.0,American Airlines Inc.
17952,1.0,American Airlines Inc.
17953,42.0,JetBlue Airways
17954,-14.0,JetBlue Airways
17955,1.0,Envoy Air
17956,-28.0,United Air Lines Inc.
17957,13.0,Virgin America
17958,14.0,Delta Air Lines Inc.
17959,2.0,Southwest Airlines Co.
17961,-11.0,United Air Lines Inc.
17962,-6.0,ExpressJet Airlines Inc.
17963,2.0,JetBlue Airways
17964,-1.0,United Air Lines Inc.
17965,4.0,United Air Lines Inc.
17966,-8.0,JetBlue Airways
17967,-31.0,Delta Air Lines Inc.
17968,-16.0,American Airlines Inc.
17969,14.0,American Airlines Inc.
17970,-7.0,American Airlines Inc.
17971,-8.0,Envoy Air
17972,-15.0,United Air Lines Inc.
17973,21.0,Delta Air Lines Inc.
17974,11.0,US Airways Inc.
17975,60.0,ExpressJet Airlines Inc.
17976,93.0,Endeavor Air Inc.
17977,1.0,Envoy Air
17978,-7.0,Delta Air Lines Inc.
17979,-2.0,United Air Lines Inc.
17980,-3.0,Frontier Airlines Inc.
17981,-16.0,American Airlines Inc.
17982,-3.0,American Airlines Inc.
17983,12.0,United Air Lines Inc.
17984,5.0,US Airways Inc.
17985,-16.0,United Air Lines Inc.
17986,-14.0,Delta Air Lines Inc.
17987,14.0,United Air Lines Inc.
17988,-4.0,AirTran Airways Corporation
17989,17.0,United Air Lines Inc.
17990,80.0,Endeavor Air Inc.
17991,3.0,ExpressJet Airlines Inc.
17992,32.0,ExpressJet Airlines Inc.
17993,18.0,ExpressJet Airlines Inc.
17994,13.0,Southwest Airlines Co.
17995,-20.0,Delta Air Lines Inc.
17996,104.0,Endeavor Air Inc.
17997,-16.0,JetBlue Airways
17998,5.0,JetBlue Airways
17999,2.0,Envoy Air
18001,-6.0,Delta Air Lines Inc.
18002,-5.0,JetBlue Airways
18003,4.0,JetBlue Airways
18004,16.0,JetBlue Airways
18005,39.0,American Airlines Inc.
18006,-13.0,United Air Lines Inc.
18007,-23.0,US Airways Inc.
18008,-14.0,US Airways Inc.
18009,-12.0,JetBlue Airways
18010,9.0,US Airways Inc.
18011,-5.0,United Air Lines Inc.
18012,10.0,JetBlue Airways
18013,-8.0,Southwest Airlines Co.
18014,-5.0,United Air Lines Inc.
18015,53.0,United Air Lines Inc.
18016,-9.0,United Air Lines Inc.
18017,45.0,ExpressJet Airlines Inc.
18018,10.0,Southwest Airlines Co.
18019,-9.0,American Airlines Inc.
18020,11.0,Envoy Air
18021,-30.0,JetBlue Airways
18022,-26.0,United Air Lines Inc.
18023,8.0,Delta Air Lines Inc.
18024,29.0,American Airlines Inc.
18025,5.0,Delta Air Lines Inc.
18026,-18.0,Delta Air Lines Inc.
18027,-19.0,Endeavor Air Inc.
18028,-3.0,Endeavor Air Inc.
18029,3.0,United Air Lines Inc.
18030,-20.0,JetBlue Airways
18031,-26.0,Endeavor Air Inc.
18032,-8.0,American Airlines Inc.
18033,-29.0,JetBlue Airways
18034,-17.0,American Airlines Inc.
18035,-39.0,United Air Lines Inc.
18036,-19.0,United Air Lines Inc.
18037,17.0,United Air Lines Inc.
18038,1.0,American Airlines Inc.
18039,-4.0,ExpressJet Airlines Inc.
18040,-20.0,United Air Lines Inc.
18041,42.0,United Air Lines Inc.
18042,-22.0,Envoy Air
18043,10.0,JetBlue Airways
18044,-10.0,United Air Lines Inc.
18045,23.0,Alaska Airlines Inc.
18046,0.0,Delta Air Lines Inc.
18047,-18.0,Delta Air Lines Inc.
18048,-10.0,Envoy Air
18049,64.0,United Air Lines Inc.
18050,55.0,Southwest Airlines Co.
18051,-37.0,Delta Air Lines Inc.
18052,25.0,United Air Lines Inc.
18053,8.0,US Airways Inc.
18054,-27.0,Delta Air Lines Inc.
18055,59.0,American Airlines Inc.
18056,31.0,Envoy Air
18057,15.0,Envoy Air
18058,6.0,United Air Lines Inc.
18059,12.0,United Air Lines Inc.
18060,-20.0,ExpressJet Airlines Inc.
18061,96.0,American Airlines Inc.
18062,-31.0,American Airlines Inc.
18063,22.0,US Airways Inc.
18064,-13.0,Delta Air Lines Inc.
18065,17.0,ExpressJet Airlines Inc.
18066,-2.0,Envoy Air
18067,-31.0,Endeavor Air Inc.
18068,-5.0,US Airways Inc.
18069,13.0,ExpressJet Airlines Inc.
18070,-7.0,JetBlue Airways
18071,67.0,JetBlue Airways
18072,-26.0,United Air Lines Inc.
18073,-8.0,American Airlines Inc.
18074,-26.0,Delta Air Lines Inc.
18075,-40.0,Delta Air Lines Inc.
18076,-1.0,Delta Air Lines Inc.
18077,77.0,ExpressJet Airlines Inc.
18078,43.0,ExpressJet Airlines Inc.
18080,1.0,ExpressJet Airlines Inc.
18081,7.0,JetBlue Airways
18082,-17.0,Southwest Airlines Co.
18083,28.0,Envoy Air
18084,28.0,United Air Lines Inc.
18085,-13.0,United Air Lines Inc.
18086,-3.0,JetBlue Airways
18087,-29.0,American Airlines Inc.
18088,-11.0,American Airlines Inc.
18089,4.0,JetBlue Airways
18090,-6.0,Delta Air Lines Inc.
18091,-28.0,Delta Air Lines Inc.
18092,-21.0,Endeavor Air Inc.
18093,45.0,Virgin America
18094,-14.0,Delta Air Lines Inc.
18095,3.0,Delta Air Lines Inc.
18096,-6.0,Delta Air Lines Inc.
18097,9.0,ExpressJet Airlines Inc.
18098,12.0,AirTran Airways Corporation
18099,-32.0,Delta Air Lines Inc.
18100,-12.0,Delta Air Lines Inc.
18101,-5.0,Delta Air Lines Inc.
18102,-17.0,Delta Air Lines Inc.
18103,-24.0,ExpressJet Airlines Inc.
18104,16.0,ExpressJet Airlines Inc.
18105,-1.0,Delta Air Lines Inc.
18106,-16.0,Endeavor Air Inc.
18107,-25.0,JetBlue Airways
18108,118.0,ExpressJet Airlines Inc.
18109,-10.0,American Airlines Inc.
18110,20.0,JetBlue Airways
18111,14.0,Delta Air Lines Inc.
18112,14.0,ExpressJet Airlines Inc.
18113,-3.0,Envoy Air
18114,-20.0,ExpressJet Airlines Inc.
18115,-10.0,Southwest Airlines Co.
18116,30.0,United Air Lines Inc.
18117,9.0,American Airlines Inc.
18118,23.0,Envoy Air
18119,64.0,Endeavor Air Inc.
18120,-2.0,ExpressJet Airlines Inc.
18121,4.0,US Airways Inc.
18122,16.0,Envoy Air
18123,-12.0,JetBlue Airways
18124,-6.0,ExpressJet Airlines Inc.
18125,16.0,ExpressJet Airlines Inc.
18126,-2.0,United Air Lines Inc.
18127,5.0,ExpressJet Airlines Inc.
18128,120.0,Endeavor Air Inc.
18129,40.0,JetBlue Airways
18130,-9.0,Delta Air Lines Inc.
